computer,datetime,exp,cbal,participant,trial,trial_type,img,trial_duration,audio_path,audio_file,word,error,word_onset,word_duration
LCNL-279-1-PC,6/25/2018 10:03,wc32v.3,A1a,11,45,trgt,trgt20.jpg,0.985589573,C:\Users\LCNL-279-1\Desktop\wc32_v.1/Data/wc32v.3_P11/wc32v.3_11_045.wav,wc32v.3_11_045.wav,,,,
LCNL-279-1-PC,6/25/2018 10:03,wc32v.3,A1a,11,46,fill,ftxt39.jpg,0.855905678,C:\Users\LCNL-279-1\Desktop\wc32_v.1/Data/wc32v.3_P11/wc32v.3_11_046.wav,wc32v.3_11_046.wav,,,,
LCNL-279-1-PC,6/25/2018 10:03,wc32v.3,A1a,11,47,intf,prim32.jpg,0.855165486,C:\Users\LCNL-279-1\Desktop\wc32_v.1/Data/wc32v.3_P11/wc32v.3_11_047.wav,wc32v.3_11_047.wav,,,,
LCNL-279-1-PC,6/25/2018 10:03,wc32v.3,A1a,11,48,trgt,trgt32.jpg,1.245640951,C:\Users\LCNL-279-1\Desktop\wc32_v.1/Data/wc32v.3_P11/wc32v.3_11_048.wav,wc32v.3_11_048.wav,,,,
LCNL-279-1-PC,6/25/2018 10:03,wc32v.3,A1a,11,49,fill,fimg25.jpg,0.85579496,C:\Users\LCNL-279-1\Desktop\wc32_v.1/Data/wc32v.3_P11/wc32v.3_11_049.wav,wc32v.3_11_049.wav,,,,
LCNL-279-1-PC,6/25/2018 10:03,wc32v.3,A1a,11,50,ctrl,ctrl21.jpg,0.855149625,C:\Users\LCNL-279-1\Desktop\wc32_v.1/Data/wc32v.3_P11/wc32v.3_11_050.wav,wc32v.3_11_050.wav,,,,
LCNL-279-1-PC,6/25/2018 10:03,wc32v.3,A1a,11,51,trgt,trgt21.jpg,1.115433324,C:\Users\LCNL-279-1\Desktop\wc32_v.1/Data/wc32v.3_P11/wc32v.3_11_051.wav,wc32v.3_11_051.wav,,,,
LCNL-279-1-PC,6/25/2018 10:03,wc32v.3,A1a,11,52,fill,ftxt25.jpg,0.856207664,C:\Users\LCNL-279-1\Desktop\wc32_v.1/Data/wc32v.3_P11/wc32v.3_11_052.wav,wc32v.3_11_052.wav,,,,
LCNL-279-1-PC,6/25/2018 10:03,wc32v.3,A1a,11,53,fill,ftxt09.jpg,0.855830726,C:\Users\LCNL-279-1\Desktop\wc32_v.1/Data/wc32v.3_P11/wc32v.3_11_053.wav,wc32v.3_11_053.wav,,,,
LCNL-279-1-PC,6/25/2018 10:03,wc32v.3,A1a,11,54,fill,ftxt33.jpg,0.854945916,C:\Users\LCNL-279-1\Desktop\wc32_v.1/Data/wc32v.3_P11/wc32v.3_11_054.wav,wc32v.3_11_054.wav,,,,
LCNL-279-1-PC,6/25/2018 10:03,wc32v.3,A1a,11,55,intf,prim19.jpg,0.854313954,C:\Users\LCNL-279-1\Desktop\wc32_v.1/Data/wc32v.3_P11/wc32v.3_11_055.wav,wc32v.3_11_055.wav,,,,
LCNL-279-1-PC,6/25/2018 10:03,wc32v.3,A1a,11,56,trgt,trgt19.jpg,3.03418725,C:\Users\LCNL-279-1\Desktop\wc32_v.1/Data/wc32v.3_P11/wc32v.3_11_056.wav,wc32v.3_11_056.wav,,,,
LCNL-279-1-PC,6/25/2018 10:03,wc32v.3,A1a,11,57,fill,fimg32.jpg,0.983559019,C:\Users\LCNL-279-1\Desktop\wc32_v.1/Data/wc32v.3_P11/wc32v.3_11_057.wav,wc32v.3_11_057.wav,,,,
LCNL-279-1-PC,6/25/2018 10:03,wc32v.3,A1a,11,58,fill,fimg08.jpg,0.986452923,C:\Users\LCNL-279-1\Desktop\wc32_v.1/Data/wc32v.3_P11/wc32v.3_11_058.wav,wc32v.3_11_058.wav,,,,
LCNL-279-1-PC,6/25/2018 10:03,wc32v.3,A1a,11,59,fill,fimg26.jpg,1.243868843,C:\Users\LCNL-279-1\Desktop\wc32_v.1/Data/wc32v.3_P11/wc32v.3_11_059.wav,wc32v.3_11_059.wav,,,,
LCNL-279-1-PC,6/25/2018 10:03,wc32v.3,A1a,11,60,ctrl,ctrl38.jpg,0.984441652,C:\Users\LCNL-279-1\Desktop\wc32_v.1/Data/wc32v.3_P11/wc32v.3_11_060.wav,wc32v.3_11_060.wav,,,,
LCNL-279-1-PC,6/25/2018 10:03,wc32v.3,A1a,11,61,trgt,trgt38.jpg,0.855567305,C:\Users\LCNL-279-1\Desktop\wc32_v.1/Data/wc32v.3_P11/wc32v.3_11_061.wav,wc32v.3_11_061.wav,,,,
LCNL-279-1-PC,6/25/2018 10:03,wc32v.3,A1a,11,62,fill,fimg01.jpg,0.985770267,C:\Users\LCNL-279-1\Desktop\wc32_v.1/Data/wc32v.3_P11/wc32v.3_11_062.wav,wc32v.3_11_062.wav,,,,
LCNL-279-1-PC,6/25/2018 10:03,wc32v.3,A1a,11,63,intf,prim36.jpg,0.984227681,C:\Users\LCNL-279-1\Desktop\wc32_v.1/Data/wc32v.3_P11/wc32v.3_11_063.wav,wc32v.3_11_063.wav,,,,
LCNL-279-1-PC,6/25/2018 10:03,wc32v.3,A1a,11,64,trgt,trgt36.jpg,1.624610466,C:\Users\LCNL-279-1\Desktop\wc32_v.1/Data/wc32v.3_P11/wc32v.3_11_064.wav,wc32v.3_11_064.wav,,,,
